video_id,filepath,word_count,character_count
aRZPKYnfYS0,data/transcripts/aRZPKYnfYS0.en-orig.txt,93027,520233
Ez2IFfaoRJQ,data/transcripts/Ez2IFfaoRJQ.en.txt,88700,479690
etHlu9QTTRM,data/transcripts_recovered_research/etHlu9QTTRM.hi.txt,71757,352295
cEebNNbLlQU,data/transcripts_recovered_research/cEebNNbLlQU.en.txt,67835,369075
CWa-gW_-7zQ,data/transcripts_recovered_research/CWa-gW_-7zQ.en.txt,65381,357054
qxBnGIqKflU,data/transcripts/qxBnGIqKflU.en-orig.txt,47142,253793
mb54KIYrqHg,data/transcripts_recovered_research/mb54KIYrqHg.hi.txt,45583,232647
ridpX-gHIv4,data/transcripts/ridpX-gHIv4.txt,39688,191643
qwJuri4y-h4,data/transcripts/qwJuri4y-h4.en-orig.txt,38057,187631
j-f0YHcix90,data/transcripts_recovered_research/j-f0YHcix90.en.txt,36947,202550
_IKq9_hxfR8,data/transcripts_recovered_research/_IKq9_hxfR8.en.txt,33263,185239
RbhNAq8XeP0,data/transcripts/RbhNAq8XeP0.txt,32820,180945
7gZ2hpcA-E0,data/transcripts_recovered_research/7gZ2hpcA-E0.hi.txt,31987,160381
DWtnKRL30jo,data/transcripts/DWtnKRL30jo.en-orig.txt,29944,160587
n0sFQHoOSxI,data/transcripts/n0sFQHoOSxI.en-orig.txt,26566,146470
NV3VHS_AFJQ,data/transcripts/NV3VHS_AFJQ.en-orig.txt,25831,134361
yQYJQ5cZ-bM,data/transcripts/yQYJQ5cZ-bM.txt,25710,132081
T1SghqwJDsI,data/transcripts/T1SghqwJDsI.en.txt,25286,140737
14z7QKI0f6s,data/transcripts/14z7QKI0f6s.txt,23890,116510
4Cob6uu3pww,data/transcripts/4Cob6uu3pww.en.txt,23701,131975
4nDCyJx-uPA,data/transcripts/4nDCyJx-uPA.txt,22719,104942
UMSIaxSdOa4,data/transcripts_recovered_research/UMSIaxSdOa4.en.txt,20730,115220
DnvGnPk5p5k,data/transcripts/DnvGnPk5p5k.en.txt,20392,114758
6WtvdIBrW8c,data/transcripts_recovered_research/6WtvdIBrW8c.hi.txt,18389,88811
cbQTJMmoqic,data/transcripts/cbQTJMmoqic.txt,17913,92029
atFX3FjIx4Y,data/transcripts/atFX3FjIx4Y.en.txt,17772,91033
D-kdaFEJ9Nk,data/transcripts/D-kdaFEJ9Nk.en.txt,17307,99275
THvRM-RU764,data/transcripts/THvRM-RU764.en.txt,17213,95141
EHxM99Tw3ME,data/transcripts/EHxM99Tw3ME.en-orig.txt,16850,83298
CA7l6wDCEbU,data/transcripts/CA7l6wDCEbU.txt,15957,102963
67TL2nk8bcI,data/transcripts/67TL2nk8bcI.en.txt,15413,80982
mJGq4os7l7g,data/transcripts/mJGq4os7l7g.en-orig.txt,15321,81386
ucLh0_3oE6Y,data/transcripts_recovered_research/ucLh0_3oE6Y.en.txt,15296,86714
zS90yaIFer0,data/transcripts/zS90yaIFer0.en.txt,15291,79533
agqZWtuol2E,data/transcripts/agqZWtuol2E.txt,15200,76533
7zGVGDZPxxA,data/transcripts/7zGVGDZPxxA.en-orig.txt,14537,75741
YfPwMRCAzj4,data/transcripts/YfPwMRCAzj4.txt,14091,65296
sgYj-8_vS2k,data/transcripts/sgYj-8_vS2k.txt,13742,75699
g1oTXSPqPAY,data/transcripts/g1oTXSPqPAY.txt,13403,59009
